First Name	Last Name 	Email Address	Campus	
Keily	Haley	Keily.Haley@yahoo.com	Auckland, Wellington, Christchurch	
Leif	Marin	Leif.Marin@yahoo.com	Auckland, Wellington, Christchurch	
Celia	English	Celia.English@yahoo.com	Auckland, Wellington, Christchurch	
Junior	McClure	Junior.McClure@yahoo.com	Auckland, Wellington, Christchurch	
Estella	O’Connell	Estella.O’Connell@yahoo.com	Auckland, Wellington, Christchurch	
Jovanni	Day	Jovanni.Day@yahoo.com	Auckland, Wellington, Christchurch	
Hayden	Rich	Hayden.Rich@yahoo.com	Auckland, Wellington, Christchurch	
Miller	Calderon	Miller.Calderon@yahoo.com	Auckland, Wellington, Christchurch	
Serena	Bautista	Serena.Bautista@yahoo.com	Auckland, Wellington, Christchurch	
Raul	Schmitt	Raul.Schmitt@yahoo.com	Auckland, Wellington, Christchurch	
Queen	Hamilton	Queen.Hamilton@yahoo.com	Auckland, Wellington, Christchurch	
Jason	Hudson	Jason.Hudson@yahoo.com	Auckland, Wellington, Christchurch	
Kamila	Murphy	Kamila.Murphy@yahoo.com	Auckland, Wellington, Christchurch	
Cameron	Reyes	Cameron.Reyes@yahoo.com	Auckland, Wellington, Christchurch	
Audrey	Cantu	Audrey.Cantu@yahoo.com	Auckland, Wellington, Christchurch	
Anakin	Arias	Anakin.Arias@yahoo.com	Auckland, Wellington, Christchurch	
Aleah	Turner	Aleah.Turner@yahoo.com	Auckland, Wellington, Christchurch	
Joshua	Wilcox	Joshua.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	
Ashlyn	Sierra	Ashlyn.Sierra@yahoo.com	Auckland, Wellington, Christchurch	
Dayton	McKinney	Dayton.McKinney@yahoo.com	Auckland, Wellington, Christchurch	
Gwendolyn	Harvey	Gwendolyn.Harvey@yahoo.com	Auckland, Wellington, Christchurch	
Cayden	Acosta	Cayden.Acosta@yahoo.com	Auckland, Wellington, Christchurch	
Kaia	Mullen	Kaia.Mullen@yahoo.com	Auckland, Wellington, Christchurch	
Shepard	Welch	Shepard.Welch@yahoo.com	Auckland, Wellington, Christchurch	
Amira	Conway	Amira.Conway@yahoo.com	Auckland, Wellington, Christchurch	
Orlando	Miller	Orlando.Miller@yahoo.com	Auckland, Wellington, Christchurch	
Isabella	Yoder	Isabella.Yoder@yahoo.com	Auckland, Wellington, Christchurch	
Johan	Sutton	Johan.Sutton@yahoo.com	Auckland, Wellington, Christchurch	
Izabella	Little	Izabella.Little@yahoo.com	Auckland, Wellington, Christchurch	
Lennox	Patterson	Lennox.Patterson@yahoo.com	Auckland, Wellington, Christchurch	
Kaylee	Blankenship	Kaylee.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	
Ernesto	Aguilar	Ernesto.Aguilar@yahoo.com	Auckland, Wellington, Christchurch	
Josie	Jacobs	Josie.Jacobs@yahoo.com	Auckland, Wellington, Christchurch	
Bryan	Barton	Bryan.Barton@yahoo.com	Auckland, Wellington, Christchurch	
Danna	Compton	Danna.Compton@yahoo.com	Auckland, Wellington, Christchurch	
Abner	Ramirez	Abner.Ramirez@yahoo.com	Auckland, Wellington, Christchurch	
Grace	Marquez	Grace.Marquez@yahoo.com	Auckland, Wellington, Christchurch	
Malakai	Beck	Malakai.Beck@yahoo.com	Auckland, Wellington, Christchurch	
Gia	Truong	Gia.Truong@yahoo.com	Auckland, Wellington, Christchurch	
Ayan	Swanson	Ayan.Swanson@yahoo.com	Auckland, Wellington, Christchurch	
Helen	Patton	Helen.Patton@yahoo.com	Auckland, Wellington, Christchurch	
Moises	Pitts	Moises.Pitts@yahoo.com	Auckland, Wellington, Christchurch	
Nala	Ramos	Nala.Ramos@yahoo.com	Auckland, Wellington, Christchurch	
Angel	Mullen	Angel.Mullen@yahoo.com	Auckland, Wellington, Christchurch	
Shay	Parra	Shay.Parra@yahoo.com	Auckland, Wellington, Christchurch	
Davion	Lindsey	Davion.Lindsey@yahoo.com	Auckland, Wellington, Christchurch	
Colette	Reese	Colette.Reese@yahoo.com	Auckland, Wellington, Christchurch	
Alijah	Lugo	Alijah.Lugo@yahoo.com	Auckland, Wellington, Christchurch	
Kaylie	York	Kaylie.York@yahoo.com	Auckland, Wellington, Christchurch	
Leandro	Norton	Leandro.Norton@yahoo.com	Auckland, Wellington, Christchurch	
Kylee	Ayala	Kylee.Ayala@yahoo.com	Auckland, Wellington, Christchurch	
Tanner	Scott	Tanner.Scott@yahoo.com	Auckland, Wellington, Christchurch	
Aurora	Person	Aurora.Person@yahoo.com	Auckland, Wellington, Christchurch	
Moses	Jennings	Moses.Jennings@yahoo.com	Auckland, Wellington, Christchurch	
Palmer	Russo	Palmer.Russo@yahoo.com	Auckland, Wellington, Christchurch	
Jamie	Guevara	Jamie.Guevara@yahoo.com	Auckland, Wellington, Christchurch	
Teresa	Burns	Teresa.Burns@yahoo.com	Auckland, Wellington, Christchurch	
August	Harmon	August.Harmon@yahoo.com	Auckland, Wellington, Christchurch	
Maren	Hutchinson	Maren.Hutchinson@yahoo.com	Auckland, Wellington, Christchurch	
Korbin	Alfaro	Korbin.Alfaro@yahoo.com	Auckland, Wellington, Christchurch	
Yasmin	Tate	Yasmin.Tate@yahoo.com	Auckland, Wellington, Christchurch	
Dalton	Bennett	Dalton.Bennett@yahoo.com	Auckland, Wellington, Christchurch	
Josephine	Vo	Josephine.Vo@yahoo.com	Auckland, Wellington, Christchurch	
Gordon	Molina	Gordon.Molina@yahoo.com	Auckland, Wellington, Christchurch	
Alexandria	Hardin	Alexandria.Hardin@yahoo.com	Auckland, Wellington, Christchurch	
Hassan	Dominguez	Hassan.Dominguez@yahoo.com	Auckland, Wellington, Christchurch	
Raegan	Stuart	Raegan.Stuart@yahoo.com	Auckland, Wellington, Christchurch	
Dion	Greene	Dion.Greene@yahoo.com	Auckland, Wellington, Christchurch	
Selena	Castaneda	Selena.Castaneda@yahoo.com	Auckland, Wellington, Christchurch	
Collin	Berry	Collin.Berry@yahoo.com	Auckland, Wellington, Christchurch	
Annabelle	Chase	Annabelle.Chase@yahoo.com	Auckland, Wellington, Christchurch	
Otis	Tapia	Otis.Tapia@yahoo.com	Auckland, Wellington, Christchurch	
Michaela	Tyler	Michaela.Tyler@yahoo.com	Auckland, Wellington, Christchurch	
Emmitt	Alexander	Emmitt.Alexander@yahoo.com	Auckland, Wellington, Christchurch	
Lyla	Thornton	Lyla.Thornton@yahoo.com	Auckland, Wellington, Christchurch	
Malik	Trujillo	Malik.Trujillo@yahoo.com	Auckland, Wellington, Christchurch	
Danielle	Rosales	Danielle.Rosales@yahoo.com	Auckland, Wellington, Christchurch	
Wilder	McCarty	Wilder.McCarty@yahoo.com	Auckland, Wellington, Christchurch	
Halo	Hinton	Halo.Hinton@yahoo.com	Auckland, Wellington, Christchurch	
Frankie	Bowman	Frankie.Bowman@yahoo.com	Auckland, Wellington, Christchurch	
Fiona	Brennan	Fiona.Brennan@yahoo.com	Auckland, Wellington, Christchurch	
Curtis	Heath	Curtis.Heath@yahoo.com	Auckland, Wellington, Christchurch	
Amani	York	Amani.York@yahoo.com	Auckland, Wellington, Christchurch	
Leandro	Rogers	Leandro.Rogers@yahoo.com	Auckland, Wellington, Christchurch	
Madelyn	Cardenas	Madelyn.Cardenas@yahoo.com	Auckland, Wellington, Christchurch	
Johnathan	Daugherty	Johnathan.Daugherty@yahoo.com	Auckland, Wellington, Christchurch	
Magdalena	Ingram	Magdalena.Ingram@yahoo.com	Auckland, Wellington, Christchurch	
Tripp	Curry	Tripp.Curry@yahoo.com	Auckland, Wellington, Christchurch	
Alison	Moore	Alison.Moore@yahoo.com	Auckland, Wellington, Christchurch	
Levi	Roberson	Levi.Roberson@yahoo.com	Auckland, Wellington, Christchurch	
Sasha	Arias	Sasha.Arias@yahoo.com	Auckland, Wellington, Christchurch	
Alec	Giles	Alec.Giles@yahoo.com	Auckland, Wellington, Christchurch	
Bailee	Conrad	Bailee.Conrad@yahoo.com	Auckland, Wellington, Christchurch	
Dilan	Wilkerson	Dilan.Wilkerson@yahoo.com	Auckland, Wellington, Christchurch	
Janiyah	Small	Janiyah.Small@yahoo.com	Auckland, Wellington, Christchurch	
Rudy	Todd	Rudy.Todd@yahoo.com	Auckland, Wellington, Christchurch	
Zariah	Haley	Zariah.Haley@yahoo.com	Auckland, Wellington, Christchurch	
Leif	Le	Leif.Le@yahoo.com	Auckland, Wellington, Christchurch	
Myla	Ponce	Myla.Ponce@yahoo.com	Auckland, Wellington, Christchurch	
Langston	Vega	Langston.Vega@yahoo.com	Auckland, Wellington, Christchurch	
Dakota	Thompson	Dakota.Thompson@yahoo.com	Auckland, Wellington, Christchurch	
Theodore	Fernandez	Theodore.Fernandez@yahoo.com	Auckland, Wellington, Christchurch	
Amara	Fuentes	Amara.Fuentes@yahoo.com	Auckland, Wellington, Christchurch	
Bowen	Villa	Bowen.Villa@yahoo.com	Auckland, Wellington, Christchurch	
Johanna	Short	Johanna.Short@yahoo.com	Auckland, Wellington, Christchurch	
Hezekiah	Terrell	Hezekiah.Terrell@yahoo.com	Auckland, Wellington, Christchurch	
Paityn	Soto	Paityn.Soto@yahoo.com	Auckland, Wellington, Christchurch	
Barrett	Andrade	Barrett.Andrade@yahoo.com	Auckland, Wellington, Christchurch	
Emmy	Roy	Emmy.Roy@yahoo.com	Auckland, Wellington, Christchurch	
Marcelo	Eaton	Marcelo.Eaton@yahoo.com	Auckland, Wellington, Christchurch	
Miley	McConnell	Miley.McConnell@yahoo.com	Auckland, Wellington, Christchurch	
London	Randolph	London.Randolph@yahoo.com	Auckland, Wellington, Christchurch	
Kailey	Walls	Kailey.Walls@yahoo.com	Auckland, Wellington, Christchurch	
Larry	Nunez	Larry.Nunez@yahoo.com	Auckland, Wellington, Christchurch	
Mya	Trejo	Mya.Trejo@yahoo.com	Auckland, Wellington, Christchurch	
Wesson	Schmitt	Wesson.Schmitt@yahoo.com	Auckland, Wellington, Christchurch	
Queen	O’brien	Queen.O’brien@yahoo.com	Auckland, Wellington, Christchurch	
Riley	McConnell	Riley.McConnell@yahoo.com	Auckland, Wellington, Christchurch	
Denise	McKenzie	Denise.McKenzie@yahoo.com	Auckland, Wellington, Christchurch	
Scott	Reyna	Scott.Reyna@yahoo.com	Auckland, Wellington, Christchurch	
Luella	Orr	Luella.Orr@yahoo.com	Auckland, Wellington, Christchurch	
Benicio	Vincent	Benicio.Vincent@yahoo.com	Auckland, Wellington, Christchurch	
Allyson	Decker	Allyson.Decker@yahoo.com	Auckland, Wellington, Christchurch	
Taylor	Vaughn	Taylor.Vaughn@yahoo.com	Auckland, Wellington, Christchurch	
Reign	Davenport	Reign.Davenport@yahoo.com	Auckland, Wellington, Christchurch	
Dariel	Beck	Dariel.Beck@yahoo.com	Auckland, Wellington, Christchurch	
Gia	Hansen	Gia.Hansen@yahoo.com	Auckland, Wellington, Christchurch	
Charlie	Arias	Charlie.Arias@yahoo.com	Auckland, Wellington, Christchurch	
Aleah	Proctor	Aleah.Proctor@yahoo.com	Auckland, Wellington, Christchurch	
Vance	James	Vance.James@yahoo.com	Auckland, Wellington, Christchurch	
Quinn	Vu	Quinn.Vu@yahoo.com	Auckland, Wellington, Christchurch	
Kamdyn	Brooks	Kamdyn.Brooks@yahoo.com	Auckland, Wellington, Christchurch	
Autumn	Richards	Autumn.Richards@yahoo.com	Auckland, Wellington, Christchurch	
Holden	Larson	Holden.Larson@yahoo.com	Auckland, Wellington, Christchurch	
Alayna	Peralta	Alayna.Peralta@yahoo.com	Auckland, Wellington, Christchurch	
Dangelo	Mosley	Dangelo.Mosley@yahoo.com	Auckland, Wellington, Christchurch	
Zaniyah	Bruce	Zaniyah.Bruce@yahoo.com	Auckland, Wellington, Christchurch	
Uriah	Ortiz	Uriah.Ortiz@yahoo.com	Auckland, Wellington, Christchurch	
Anna	Villalobos	Anna.Villalobos@yahoo.com	Auckland, Wellington, Christchurch	
Reuben	Sexton	Reuben.Sexton@yahoo.com	Auckland, Wellington, Christchurch	
Ellen	Fuller	Ellen.Fuller@yahoo.com	Auckland, Wellington, Christchurch	
Andre	Hensley	Andre.Hensley@yahoo.com	Auckland, Wellington, Christchurch	
Malaya	French	Malaya.French@yahoo.com	Auckland, Wellington, Christchurch	
Corey	Thornton	Corey.Thornton@yahoo.com	Auckland, Wellington, Christchurch	
Haisley	Rhodes	Haisley.Rhodes@yahoo.com	Auckland, Wellington, Christchurch	
Titus	McLaughlin	Titus.McLaughlin@yahoo.com	Auckland, Wellington, Christchurch	
Stephanie	Leal	Stephanie.Leal@yahoo.com	Auckland, Wellington, Christchurch	
Cedric	Everett	Cedric.Everett@yahoo.com	Auckland, Wellington, Christchurch	
Noah	Wilson	Noah.Wilson@yahoo.com	Auckland, Wellington, Christchurch	
Daniel	Nelson	Daniel.Nelson@yahoo.com	Auckland, Wellington, Christchurch	
Everly	McFarland	Everly.McFarland@yahoo.com	Auckland, Wellington, Christchurch	
Dane	Pace	Dane.Pace@yahoo.com	Auckland, Wellington, Christchurch	
Giana	Gonzalez	Giana.Gonzalez@yahoo.com	Auckland, Wellington, Christchurch	
Ethan	Jarvis	Ethan.Jarvis@yahoo.com	Auckland, Wellington, Christchurch	
Elisabeth	Charles	Elisabeth.Charles@yahoo.com	Auckland, Wellington, Christchurch	
Conrad	Rush	Conrad.Rush@yahoo.com	Auckland, Wellington, Christchurch	
Maleah	Melton	Maleah.Melton@yahoo.com	Auckland, Wellington, Christchurch	
Lennon	Jenkins	Lennon.Jenkins@yahoo.com	Auckland, Wellington, Christchurch	
Rylee	Alvarado	Rylee.Alvarado@yahoo.com	Auckland, Wellington, Christchurch	
Andres	Ashley	Andres.Ashley@yahoo.com	Auckland, Wellington, Christchurch	
Khalani	Gallegos	Khalani.Gallegos@yahoo.com	Auckland, Wellington, Christchurch	
Jonas	Webb	Jonas.Webb@yahoo.com	Auckland, Wellington, Christchurch	
Ariella	Madden	Ariella.Madden@yahoo.com	Auckland, Wellington, Christchurch	
Everest	Hardin	Everest.Hardin@yahoo.com	Auckland, Wellington, Christchurch	
Vada	Decker	Vada.Decker@yahoo.com	Auckland, Wellington, Christchurch	
Taylor	Bender	Taylor.Bender@yahoo.com	Auckland, Wellington, Christchurch	
Lilyana	Lane	Lilyana.Lane@yahoo.com	Auckland, Wellington, Christchurch	
Matias	Bailey	Matias.Bailey@yahoo.com	Auckland, Wellington, Christchurch	
Kennedy	Vasquez	Kennedy.Vasquez@yahoo.com	Auckland, Wellington, Christchurch	
Rowan	Garrett	Rowan.Garrett@yahoo.com	Auckland, Wellington, Christchurch	
Tessa	McKay	Tessa.McKay@yahoo.com	Auckland, Wellington, Christchurch	
Joey	Short	Joey.Short@yahoo.com	Auckland, Wellington, Christchurch	
Cheyenne	Wolf	Cheyenne.Wolf@yahoo.com	Auckland, Wellington, Christchurch	
Jase	Mosley	Jase.Mosley@yahoo.com	Auckland, Wellington, Christchurch	
Zaniyah	Mays	Zaniyah.Mays@yahoo.com	Auckland, Wellington, Christchurch	
Jadiel	Savage	Jadiel.Savage@yahoo.com	Auckland, Wellington, Christchurch	
Louise	Horn	Louise.Horn@yahoo.com	Auckland, Wellington, Christchurch	
Wilson	Parks	Wilson.Parks@yahoo.com	Auckland, Wellington, Christchurch	
Ainsley	Petersen	Ainsley.Petersen@yahoo.com	Auckland, Wellington, Christchurch	
Samson	Valdez	Samson.Valdez@yahoo.com	Auckland, Wellington, Christchurch	
Diana	Booth	Diana.Booth@yahoo.com	Auckland, Wellington, Christchurch	
Chaim	Nichols	Chaim.Nichols@yahoo.com	Auckland, Wellington, Christchurch	
Aliyah	King	Aliyah.King@yahoo.com	Auckland, Wellington, Christchurch	
Julian	Rowland	Julian.Rowland@yahoo.com	Auckland, Wellington, Christchurch	
Harleigh	Mills	Harleigh.Mills@yahoo.com	Auckland, Wellington, Christchurch	
Alex	Duke	Alex.Duke@yahoo.com	Auckland, Wellington, Christchurch	
Melani	Tang	Melani.Tang@yahoo.com	Auckland, Wellington, Christchurch	
Rogelio	Munoz	Rogelio.Munoz@yahoo.com	Auckland, Wellington, Christchurch	
Kehlani	Terrell	Kehlani.Terrell@yahoo.com	Auckland, Wellington, Christchurch	
Jaxen	Brock	Jaxen.Brock@yahoo.com	Auckland, Wellington, Christchurch	
Jada	Erickson	Jada.Erickson@yahoo.com	Auckland, Wellington, Christchurch	
Johnny	Winters	Johnny.Winters@yahoo.com	Auckland, Wellington, Christchurch	
Kataleya	Bowers	Kataleya.Bowers@yahoo.com	Auckland, Wellington, Christchurch	
Dorian	Solis	Dorian.Solis@yahoo.com	Auckland, Wellington, Christchurch	
Miracle	Foster	Miracle.Foster@yahoo.com	Auckland, Wellington, Christchurch	
Kayden	Bonilla	Kayden.Bonilla@yahoo.com	Auckland, Wellington, Christchurch	
Romina	Stephenson	Romina.Stephenson@yahoo.com	Auckland, Wellington, Christchurch	
Joe	Kramer	Joe.Kramer@yahoo.com	Auckland, Wellington, Christchurch	
Hanna	Wang	Hanna.Wang@yahoo.com	Auckland, Wellington, Christchurch	
Cohen	Higgins	Cohen.Higgins@yahoo.com	Auckland, Wellington, Christchurch	
Leighton	Palmer	Leighton.Palmer@yahoo.com	Auckland, Wellington, Christchurch	
Theo	Owen	Theo.Owen@yahoo.com	Auckland, Wellington, Christchurch	
Mikayla	McDaniel	Mikayla.McDaniel@yahoo.com	Auckland, Wellington, Christchurch	
Major	Cuevas	Major.Cuevas@yahoo.com	Auckland, Wellington, Christchurch	
Adele	Boyle	Adele.Boyle@yahoo.com	Auckland, Wellington, Christchurch	
Robin	Anderson	Robin.Anderson@yahoo.com	Auckland, Wellington, Christchurch	
Ella	Potter	Ella.Potter@yahoo.com	Auckland, Wellington, Christchurch	
Lucca	Wiley	Lucca.Wiley@yahoo.com	Auckland, Wellington, Christchurch	
Lauryn	Ingram	Lauryn.Ingram@yahoo.com	Auckland, Wellington, Christchurch	
Tripp	Leon	Tripp.Leon@yahoo.com	Auckland, Wellington, Christchurch	
Amora	Nunez	Amora.Nunez@yahoo.com	Auckland, Wellington, Christchurch	
Caden	Lloyd	Caden.Lloyd@yahoo.com	Auckland, Wellington, Christchurch	
Emely	Taylor	Emely.Taylor@yahoo.com	Auckland, Wellington, Christchurch	
Jackson	Perkins	Jackson.Perkins@yahoo.com	Auckland, Wellington, Christchurch	
Sage	Mann	Sage.Mann@yahoo.com	Auckland, Wellington, Christchurch	
Nehemiah	Hamilton	Nehemiah.Hamilton@yahoo.com	Auckland, Wellington, Christchurch	
Mackenzie	Wu	Mackenzie.Wu@yahoo.com	Auckland, Wellington, Christchurch	
Kyson	Pruitt	Kyson.Pruitt@yahoo.com	Auckland, Wellington, Christchurch	
Brylee	Lamb	Brylee.Lamb@yahoo.com	Auckland, Wellington, Christchurch	
Kaysen	Morgan	Kaysen.Morgan@yahoo.com	Auckland, Wellington, Christchurch	
Delilah	Glass	Delilah.Glass@yahoo.com	Auckland, Wellington, Christchurch	
Allan	Hahn	Allan.Hahn@yahoo.com	Auckland, Wellington, Christchurch	
Fallon	Blankenship	Fallon.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	
Ernesto	Ramsey	Ernesto.Ramsey@yahoo.com	Auckland, Wellington, Christchurch	
Lyric	McDowell	Lyric.McDowell@yahoo.com	Auckland, Wellington, Christchurch	
Lachlan	Wilcox	Lachlan.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	
Ashlyn	Blankenship	Ashlyn.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	
Ernesto	Pearson	Ernesto.Pearson@yahoo.com	Auckland, Wellington, Christchurch	
Kiara	Lu	Kiara.Lu@yahoo.com	Auckland, Wellington, Christchurch	
Duncan	Huber	Duncan.Huber@yahoo.com	Auckland, Wellington, Christchurch	
Raquel	Hardin	Raquel.Hardin@yahoo.com	Auckland, Wellington, Christchurch	
Hassan	Lam	Hassan.Lam@yahoo.com	Auckland, Wellington, Christchurch	
Karina	Horton	Karina.Horton@yahoo.com	Auckland, Wellington, Christchurch	
Garrett	Martinez	Garrett.Martinez@yahoo.com	Auckland, Wellington, Christchurch	
Harper	Rubio	Harper.Rubio@yahoo.com	Auckland, Wellington, Christchurch	
Titan	Zimmerman	Titan.Zimmerman@yahoo.com	Auckland, Wellington, Christchurch	
Ariyah	Castaneda	Ariyah.Castaneda@yahoo.com	Auckland, Wellington, Christchurch	
Collin	Conley	Collin.Conley@yahoo.com	Auckland, Wellington, Christchurch	
Salem	Horton	Salem.Horton@yahoo.com	Auckland, Wellington, Christchurch	
Garrett	Nichols	Garrett.Nichols@yahoo.com	Auckland, Wellington, Christchurch	
Aliyah	Whitney	Aliyah.Whitney@yahoo.com	Auckland, Wellington, Christchurch	
Jeffery	Cardenas	Jeffery.Cardenas@yahoo.com	Auckland, Wellington, Christchurch	
Raven	Pierce	Raven.Pierce@yahoo.com	Auckland, Wellington, Christchurch	
Nicolas	Hardy	Nicolas.Hardy@yahoo.com	Auckland, Wellington, Christchurch	
Jessica	Wiggins	Jessica.Wiggins@yahoo.com	Auckland, Wellington, Christchurch	
Azariah	Jacobson	Azariah.Jacobson@yahoo.com	Auckland, Wellington, Christchurch	
Royal	Moses	Royal.Moses@yahoo.com	Auckland, Wellington, Christchurch	
Niklaus	Joseph	Niklaus.Joseph@yahoo.com	Auckland, Wellington, Christchurch	
Gracelynn	Morrow	Gracelynn.Morrow@yahoo.com	Auckland, Wellington, Christchurch	
Kyree	Curtis	Kyree.Curtis@yahoo.com	Auckland, Wellington, Christchurch	
Alexis	Pacheco	Alexis.Pacheco@yahoo.com	Auckland, Wellington, Christchurch	
Erik	Hale	Erik.Hale@yahoo.com	Auckland, Wellington, Christchurch	
Brinley	Hurley	Brinley.Hurley@yahoo.com	Auckland, Wellington, Christchurch	
Van	Booker	Van.Booker@yahoo.com	Auckland, Wellington, Christchurch	
Nataly	Barr	Nataly.Barr@yahoo.com	Auckland, Wellington, Christchurch	
Harley	Klein	Harley.Klein@yahoo.com	Auckland, Wellington, Christchurch	
Elianna	Hernandez	Elianna.Hernandez@yahoo.com	Auckland, Wellington, Christchurch	
Mason	Gardner	Mason.Gardner@yahoo.com	Auckland, Wellington, Christchurch	
Jordyn	Grimes	Jordyn.Grimes@yahoo.com	Auckland, Wellington, Christchurch	
Harlan	Gillespie	Harlan.Gillespie@yahoo.com	Auckland, Wellington, Christchurch	
Alianna	Hancock	Alianna.Hancock@yahoo.com	Auckland, Wellington, Christchurch	
Rex	Mendoza	Rex.Mendoza@yahoo.com	Auckland, Wellington, Christchurch	
Cora	Person	Cora.Person@yahoo.com	Auckland, Wellington, Christchurch	
Moses	Patton	Moses.Patton@yahoo.com	Auckland, Wellington, Christchurch	
Lorelei	Hill	Lorelei.Hill@yahoo.com	Auckland, Wellington, Christchurch	
Isaac	Bruce	Isaac.Bruce@yahoo.com	Auckland, Wellington, Christchurch	
Marilyn	Pennington	Marilyn.Pennington@yahoo.com	Auckland, Wellington, Christchurch	
Bobby	Suarez	Bobby.Suarez@yahoo.com	Auckland, Wellington, Christchurch	
Jimena	Adkins	Jimena.Adkins@yahoo.com	Auckland, Wellington, Christchurch	
Kylo	Harrison	Kylo.Harrison@yahoo.com	Auckland, Wellington, Christchurch	
Jasmine	Lugo	Jasmine.Lugo@yahoo.com	Auckland, Wellington, Christchurch	
Santos	Flores	Santos.Flores@yahoo.com	Auckland, Wellington, Christchurch	
Emilia	Marks	Emilia.Marks@yahoo.com	Auckland, Wellington, Christchurch	
Amos	Rollins	Amos.Rollins@yahoo.com	Auckland, Wellington, Christchurch	
Araceli	Webster	Araceli.Webster@yahoo.com	Auckland, Wellington, Christchurch	
Shawn	Medrano	Shawn.Medrano@yahoo.com	Auckland, Wellington, Christchurch	
Halle	Small	Halle.Small@yahoo.com	Auckland, Wellington, Christchurch	
Rudy	Hopkins	Rudy.Hopkins@yahoo.com	Auckland, Wellington, Christchurch	
Gabriela	Flynn	Gabriela.Flynn@yahoo.com	Auckland, Wellington, Christchurch	
Kannon	Guerra	Kannon.Guerra@yahoo.com	Auckland, Wellington, Christchurch	
Edith	Clayton	Edith.Clayton@yahoo.com	Auckland, Wellington, Christchurch	
Boston	Holmes	Boston.Holmes@yahoo.com	Auckland, Wellington, Christchurch	
Bailey	Ramirez	Bailey.Ramirez@yahoo.com	Auckland, Wellington, Christchurch	
David	Schaefer	David.Schaefer@yahoo.com	Auckland, Wellington, Christchurch	
Mavis	Mercado	Mavis.Mercado@yahoo.com	Auckland, Wellington, Christchurch	
Abram	Huang	Abram.Huang@yahoo.com	Auckland, Wellington, Christchurch	
Francesca	Chung	Francesca.Chung@yahoo.com	Auckland, Wellington, Christchurch	
Ira	Grant	Ira.Grant@yahoo.com	Auckland, Wellington, Christchurch	
Alaina	Tanner	Alaina.Tanner@yahoo.com	Auckland, Wellington, Christchurch	
Bruno	Bentley	Bruno.Bentley@yahoo.com	Auckland, Wellington, Christchurch	
Jaylin	Lester	Jaylin.Lester@yahoo.com	Auckland, Wellington, Christchurch	
Lee	Campbell	Lee.Campbell@yahoo.com	Auckland, Wellington, Christchurch	
Addison	Peck	Addison.Peck@yahoo.com	Auckland, Wellington, Christchurch	
Yousef	Frank	Yousef.Frank@yahoo.com	Auckland, Wellington, Christchurch	
Dior	Walton	Dior.Walton@yahoo.com	Auckland, Wellington, Christchurch	
Dominick	Little	Dominick.Little@yahoo.com	Auckland, Wellington, Christchurch	
