firstname,lastname,qualification,age,campus,email,id
David,Stevens,,30,Christchurch,David.Stevens@lecturer.whitecliffe.ac.nz,DavSte_WHITECLIFFE
James,Cummings,,49,Dunedin,James.Cummings@lecturer.whitecliffe.ac.nz,JamCum_WHITECLIFFE
Travis,Aguirre,,47,Wellington,Travis.Aguirre@lecturer.whitecliffe.ac.nz,TraAgu_WHITECLIFFE
Jennifer,Stewart,,50,Christchurch,Jennifer.Stewart@lecturer.whitecliffe.ac.nz,JenSte_WHITECLIFFE
Carol,Bailey,,50,Christchurch,Carol.Bailey@lecturer.whitecliffe.ac.nz,CarBai_WHITECLIFFE
Becky,Green,,58,Auckland,Becky.Green@lecturer.whitecliffe.ac.nz,BecGre_WHITECLIFFE
Kimberly,Andrews,,65,Hamilton,Kimberly.Andrews@lecturer.whitecliffe.ac.nz,KimAnd_WHITECLIFFE
Kathleen,Simpson,,60,Christchurch,Kathleen.Simpson@lecturer.whitecliffe.ac.nz,KatSim_WHITECLIFFE
James,Mccormick,,57,Hamilton,James.Mccormick@lecturer.whitecliffe.ac.nz,JamMcc_WHITECLIFFE
Jeffrey,Wallace,,40,Auckland,Jeffrey.Wallace@lecturer.whitecliffe.ac.nz,JefWal_WHITECLIFFE
Michelle,Stevens,,41,Christchurch,Michelle.Stevens@lecturer.whitecliffe.ac.nz,MicSte_WHITECLIFFE
Erika,Payne,,54,Auckland,Erika.Payne@lecturer.whitecliffe.ac.nz,EriPay_WHITECLIFFE
Cynthia,Gutierrez,,46,Wellington,Cynthia.Gutierrez@lecturer.whitecliffe.ac.nz,CynGut_WHITECLIFFE
Carl,Parks,,58,Wellington,Carl.Parks@lecturer.whitecliffe.ac.nz,CarPar_WHITECLIFFE
Stephanie,Frazier,,53,Christchurch,Stephanie.Frazier@lecturer.whitecliffe.ac.nz,SteFra_WHITECLIFFE
Leonard,Brandt,,48,Wellington,Leonard.Brandt@lecturer.whitecliffe.ac.nz,LeoBra_WHITECLIFFE
Michael,Bass,,44,Christchurch,Michael.Bass@lecturer.whitecliffe.ac.nz,MicBas_WHITECLIFFE
Stephanie,Gray,,54,Hamilton,Stephanie.Gray@lecturer.whitecliffe.ac.nz,SteGra_WHITECLIFFE
Julie,Perez,,34,Dunedin,Julie.Perez@lecturer.whitecliffe.ac.nz,JulPer_WHITECLIFFE
Wyatt,Murillo,,23,Wellington,Wyatt.Murillo@lecturer.whitecliffe.ac.nz,WyaMur_WHITECLIFFE
Kent,Harris,,48,Hamilton,Kent.Harris@lecturer.whitecliffe.ac.nz,KenHar_WHITECLIFFE
Tyler,Brown,,31,Auckland,Tyler.Brown@lecturer.whitecliffe.ac.nz,TylBro_WHITECLIFFE
Sabrina,Hardy,,46,Christchurch,Sabrina.Hardy@lecturer.whitecliffe.ac.nz,SabHar_WHITECLIFFE
Vernon,Mclaughlin,,24,Wellington,Vernon.Mclaughlin@lecturer.whitecliffe.ac.nz,VerMcl_WHITECLIFFE
James,Anderson,,56,Christchurch,James.Anderson@lecturer.whitecliffe.ac.nz,JamAnd_WHITECLIFFE
Allison,Smith,,49,Christchurch,Allison.Smith@lecturer.whitecliffe.ac.nz,AllSmi_WHITECLIFFE
Aaron,Johnson,,40,Hamilton,Aaron.Johnson@lecturer.whitecliffe.ac.nz,AarJoh_WHITECLIFFE
Jane,Jones,,54,Auckland,Jane.Jones@lecturer.whitecliffe.ac.nz,JanJon_WHITECLIFFE
Kimberly,Macdonald,,40,Auckland,Kimberly.Macdonald@lecturer.whitecliffe.ac.nz,KimMac_WHITECLIFFE
Amanda,West,,48,Christchurch,Amanda.West@lecturer.whitecliffe.ac.nz,AmaWes_WHITECLIFFE
Marilyn,Coleman,,52,Christchurch,Marilyn.Coleman@lecturer.whitecliffe.ac.nz,MarCol_WHITECLIFFE
William,Cohen,,43,Dunedin,William.Cohen@lecturer.whitecliffe.ac.nz,WilCoh_WHITECLIFFE
Brittany,Price,,45,Dunedin,Brittany.Price@lecturer.whitecliffe.ac.nz,BriPri_WHITECLIFFE
Bruce,Wilson,,56,Auckland,Bruce.Wilson@lecturer.whitecliffe.ac.nz,BruWil_WHITECLIFFE
Evan,Jacobs,,66,Dunedin,Evan.Jacobs@lecturer.whitecliffe.ac.nz,EvaJac_WHITECLIFFE
Ryan,Jones,,40,Hamilton,Ryan.Jones@lecturer.whitecliffe.ac.nz,RyaJon_WHITECLIFFE
Victor,Alvarez,,22,Auckland,Victor.Alvarez@lecturer.whitecliffe.ac.nz,VicAlv_WHITECLIFFE
Jessica,Allen,,43,Christchurch,Jessica.Allen@lecturer.whitecliffe.ac.nz,JesAll_WHITECLIFFE
Matthew,Alvarez,,52,Christchurch,Matthew.Alvarez@lecturer.whitecliffe.ac.nz,MatAlv_WHITECLIFFE
Matthew,Yates,,60,Christchurch,Matthew.Yates@lecturer.whitecliffe.ac.nz,MatYat_WHITECLIFFE
James,Reid,,51,Auckland,James.Reid@lecturer.whitecliffe.ac.nz,JamRei_WHITECLIFFE
Susan,Le,,35,Dunedin,Susan.Le@lecturer.whitecliffe.ac.nz,SusLe_WHITECLIFFE
Jennifer,Gibson,,59,Dunedin,Jennifer.Gibson@lecturer.whitecliffe.ac.nz,JenGib_WHITECLIFFE
Donna,Davis,,41,Dunedin,Donna.Davis@lecturer.whitecliffe.ac.nz,DonDav_WHITECLIFFE
Bruce,Singh,,59,Wellington,Bruce.Singh@lecturer.whitecliffe.ac.nz,BruSin_WHITECLIFFE
Richard,Caldwell,,68,Christchurch,Richard.Caldwell@lecturer.whitecliffe.ac.nz,RicCal_WHITECLIFFE
Kathryn,Robinson,,56,Wellington,Kathryn.Robinson@lecturer.whitecliffe.ac.nz,KatRob_WHITECLIFFE
Nancy,Le,,52,Christchurch,Nancy.Le@lecturer.whitecliffe.ac.nz,NanLe_WHITECLIFFE
Amy,Murphy,,55,Dunedin,Amy.Murphy@lecturer.whitecliffe.ac.nz,AmyMur_WHITECLIFFE
Brandon,Lynch,,51,Auckland,Brandon.Lynch@lecturer.whitecliffe.ac.nz,BraLyn_WHITECLIFFE
Mary,Brown,,70,Hamilton,Mary.Brown@lecturer.whitecliffe.ac.nz,MarBro_WHITECLIFFE
Chloe,Harris,,39,Wellington,Chloe.Harris@lecturer.whitecliffe.ac.nz,ChlHar_WHITECLIFFE
Sarah,Munoz,,48,Hamilton,Sarah.Munoz@lecturer.whitecliffe.ac.nz,SarMun_WHITECLIFFE
Victor,Young,,27,Auckland,Victor.Young@lecturer.whitecliffe.ac.nz,VicYou_WHITECLIFFE
Mark,Allen,,65,Christchurch,Mark.Allen@lecturer.whitecliffe.ac.nz,MarAll_WHITECLIFFE
Susan,Kaiser,,44,Christchurch,Susan.Kaiser@lecturer.whitecliffe.ac.nz,SusKai_WHITECLIFFE
Brandon,Bradford,,36,Hamilton,Brandon.Bradford@lecturer.whitecliffe.ac.nz,BraBra_WHITECLIFFE
Elizabeth,Preston,,57,Christchurch,Elizabeth.Preston@lecturer.whitecliffe.ac.nz,EliPre_WHITECLIFFE
Crystal,Clark,,54,Auckland,Crystal.Clark@lecturer.whitecliffe.ac.nz,CryCla_WHITECLIFFE
Jane,James,,70,Wellington,Jane.James@lecturer.whitecliffe.ac.nz,JanJam_WHITECLIFFE
John,Moreno,,22,Hamilton,John.Moreno@lecturer.whitecliffe.ac.nz,JohMor_WHITECLIFFE
Tammy,West,,57,Dunedin,Tammy.West@lecturer.whitecliffe.ac.nz,TamWes_WHITECLIFFE
Russell,Welch,,51,Auckland,Russell.Welch@lecturer.whitecliffe.ac.nz,RusWel_WHITECLIFFE
Michael,Kirk,,41,Wellington,Michael.Kirk@lecturer.whitecliffe.ac.nz,MicKir_WHITECLIFFE
Justin,Jimenez,,47,Wellington,Justin.Jimenez@lecturer.whitecliffe.ac.nz,JusJim_WHITECLIFFE
Heather,Rangel,,25,Auckland,Heather.Rangel@lecturer.whitecliffe.ac.nz,HeaRan_WHITECLIFFE
Leslie,Olson,,31,Wellington,Leslie.Olson@lecturer.whitecliffe.ac.nz,LesOls_WHITECLIFFE
Karen,Ortiz,,40,Auckland,Karen.Ortiz@lecturer.whitecliffe.ac.nz,KarOrt_WHITECLIFFE
Timothy,Steele,,22,Wellington,Timothy.Steele@lecturer.whitecliffe.ac.nz,TimSte_WHITECLIFFE
John,Blankenship,,50,Wellington,John.Blankenship@lecturer.whitecliffe.ac.nz,JohBla_WHITECLIFFE
