firstname,lastname,email,campus
David,Taylor,david.taylor@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Gordon,kevin.gordon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Russell,Garcia,russell.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cynthia,Olson,cynthia.olson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nathan,Harmon,nathan.harmon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jimmy,Wade,jimmy.wade@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Hart,jennifer.hart@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Felicia,Johnson,felicia.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Rogers,jennifer.rogers@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Bush,john.bush@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Pierce,lisa.pierce@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Young,robert.young@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ruth,Taylor,ruth.taylor@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Teresa,Fritz,teresa.fritz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
April,Deleon,april.deleon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Zuniga,john.zuniga@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erin,Young,erin.young@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Mayer,jessica.mayer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alicia,Russo,alicia.russo@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Logan,Wells,logan.wells@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Carlson,michael.carlson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Nichols,john.nichols@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
George,Hart,george.hart@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Burke,michelle.burke@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tracy,Black,tracy.black@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Jordan,michael.jordan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elizabeth,Owens,elizabeth.owens@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jerry,Colon,jerry.colon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Allison,Miller,allison.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Harrison,jennifer.harrison@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Karen,Anderson,karen.anderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kathryn,Lane,kathryn.lane@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rachel,Walker,rachel.walker@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Campbell,jennifer.campbell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Nielsen,renee.nielsen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elizabeth,Robinson,elizabeth.robinson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dana,Johnson,dana.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Coleman,jennifer.coleman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Donna,Davis,donna.davis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Edward,Martinez,edward.martinez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amanda,Boyd,amanda.boyd@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Benjamin,Peters,benjamin.peters@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Becker,daniel.becker@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Wanda,Harris,wanda.harris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brandon,Gomez,brandon.gomez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Wayne,Chandler,wayne.chandler@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Scott,Sims,scott.sims@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jasmine,Fowler,jasmine.fowler@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Bryan,Thompson,bryan.thompson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Shields,lisa.shields@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Baird,james.baird@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cassandra,Parker,cassandra.parker@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vincent,Bryant,vincent.bryant@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kelly,Flores,kelly.flores@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gabriel,Martin,gabriel.martin@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
George,Williams,george.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Laura,Murray,laura.murray@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rhonda,Gibbs,rhonda.gibbs@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jodi,Leonard,jodi.leonard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrea,Khan,andrea.khan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Philip,Wright,philip.wright@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Hogan,david.hogan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Sawyer,jessica.sawyer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Krystal,Stewart,krystal.stewart@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anita,Calhoun,anita.calhoun@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erik,Rogers,erik.rogers@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Roy,william.roy@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sharon,Jones,sharon.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brenda,Smith,brenda.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jake,Taylor,jake.taylor@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joe,House,joe.house@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Patrick,Powers,patrick.powers@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Richard,tyler.richard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Angela,Santana,angela.santana@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jacob,Nash,jacob.nash@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Crystal,Fisher,crystal.fisher@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Trujillo,christopher.trujillo@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kristin,Smith,kristin.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Johnathan,Kim,johnathan.kim@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kimberly,Morris,kimberly.morris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Edward,Cooper,edward.cooper@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Philip,Terrell,philip.terrell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Guerra,william.guerra@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Megan,Guerrero,megan.guerrero@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Samantha,Jones,samantha.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Danielle,Gonzalez,danielle.gonzalez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Charlene,Cain,charlene.cain@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Justin,Wright,justin.wright@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrew,Rodriguez,andrew.rodriguez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Richard,Kelly,richard.kelly@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Clark,james.clark@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ashley,Harrison,ashley.harrison@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Leroy,Freeman,leroy.freeman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gregory,Murray,gregory.murray@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anthony,Williams,anthony.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Joseph,michael.joseph@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Kennedy,michelle.kennedy@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Carlson,renee.carlson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brandon,Fischer,brandon.fischer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Louis,Ellis,louis.ellis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Alvarado,jessica.alvarado@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ryan,Ashley,ryan.ashley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Allison,Moore,allison.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christina,Miller,christina.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gregory,Jones,gregory.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Katie,Malone,katie.malone@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Jones,tyler.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Samantha,Miller,samantha.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Diane,Salazar,diane.salazar@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Atkins,robert.atkins@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Wanda,Mccann,wanda.mccann@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Timothy,Norman,timothy.norman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jeanne,Fleming,jeanne.fleming@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sherri,Montoya,sherri.montoya@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Allison,Dixon,allison.dixon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Gross,jennifer.gross@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anthony,Williams,anthony.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rodney,Jones,rodney.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rebecca,Edwards,rebecca.edwards@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Medina,christopher.medina@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Megan,Cowan,megan.cowan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alex,Hamilton,alex.hamilton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brooke,Bradshaw,brooke.bradshaw@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Ortiz,michelle.ortiz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Hoffman,lisa.hoffman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jeanette,Hernandez,jeanette.hernandez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Holmes,daniel.holmes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joseph,Davis,joseph.davis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sandra,Roberts,sandra.roberts@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jimmy,Davis,jimmy.davis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Donald,Tucker,donald.tucker@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Samuel,Ferguson,samuel.ferguson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Thomas,christopher.thomas@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Romero,christopher.romero@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
